Time,Diff Angle,Left Motor Speed,Right Motor Speed,,,,
19.74665499,3,41.401,41.4285,,,,
19.76357985,3,41.401,41.4285,,,,
19.78197932,3,41.401,41.4285,,,,
19.79721928,3,41.401,41.4285,,,,
19.82320309,2,41.401,41.4285,,,,
19.9191165,1,41.401,41.4285,,,,
19.93813205,4,23.582,40.214,,,,
19.95375943,3,41.401,41.4285,,,,
19.96973872,3,41.401,41.4285,,,,
19.98781967,2,41.401,41.4285,,,,
20.01226306,2,41.401,41.4285,,,,
20.03297734,2,41.401,41.4285,,,,
20.04871917,3,41.401,41.4285,,,,
20.06454611,2,41.401,41.4285,,,,
20.08975554,2,41.401,41.4285,,,,
20.10640478,4,23.582,40.214,,,,
20.12861419,2,41.401,41.4285,,,,
20.14793038,2,41.401,41.4285,,,,
20.16329169,2,41.401,41.4285,,,,
20.21160889,2,41.401,41.4285,,,,
20.22662425,3,41.401,41.4285,,,,
20.24704432,2,41.401,41.4285,,,,
20.26226068,2,41.401,41.4285,,,,
20.28424454,4,23.582,40.214,,,,
20.32446957,2,41.401,41.4285,,,,
20.33962297,4,23.582,40.214,,,,
20.35457659,2,41.401,41.4285,,,,
20.36981535,2,41.401,41.4285,,,,
20.38576365,2,41.401,41.4285,,,,
20.41222477,2,41.401,41.4285,,,,
20.43374228,3,41.401,41.4285,,,,
20.45220184,4,23.582,40.214,,,,
20.46733451,3,41.401,41.4285,,,,
20.48299074,2,41.401,41.4285,,,,
20.54099917,3,41.401,41.4285,,,,
20.55605173,4,23.582,40.214,,,,
20.57779884,2,41.401,41.4285,,,,
20.59464288,2,41.401,41.4285,,,,
20.64592576,3,41.401,41.4285,,,,
20.6619513,2,41.401,41.4285,,,,
20.67815614,2,41.401,41.4285,,,,
20.69413519,3,41.401,41.4285,,,,
20.71896386,3,41.401,41.4285,,,,
20.75510526,3,41.401,41.4285,,,,
20.77138066,3,41.401,41.4285,,,,
20.79378271,2,41.401,41.4285,,,,
20.81015539,3,41.401,41.4285,,,,
20.82586217,2,41.401,41.4285,,,,
20.84914136,3,41.401,41.4285,,,,
20.87176013,4,23.582,40.214,,,,
20.88717937,3,41.401,41.4285,,,,
20.90615845,3,41.401,41.4285,,,,
20.9227016,3,41.401,41.4285,,,,
20.97038031,4,23.582,40.214,,,,
20.9863975,3,41.401,41.4285,,,,
21.00970173,3,41.401,41.4285,,,,
21.02916026,3,41.401,41.4285,,,,
21.06974244,3,41.401,41.4285,,,,
21.08526492,2,41.401,41.4285,,,,
21.10088396,2,41.401,41.4285,,,,
21.12102246,3,41.401,41.4285,,,,
21.14315295,3,41.401,41.4285,,,,
21.25068092,2,41.401,41.4285,,,,
21.26580644,3,41.401,41.4285,,,,
21.287745,4,23.582,40.214,,,,
21.30383921,2,41.401,41.4285,,,,
21.3249824,4,23.582,40.214,,,,
21.35234284,3,41.401,41.4285,,,,
21.36749244,4,23.582,40.214,,,,
21.38235092,4,23.582,40.214,,,,
21.39759803,3,41.401,41.4285,,,,
21.41302085,4,23.582,40.214,,,,
21.43313241,4,23.582,40.214,,,,
21.45001149,3,41.401,41.4285,,,,
21.46627212,4,23.582,40.214,,,,
21.48369694,3,41.401,41.4285,,,,
21.5859952,4,23.582,40.214,,,,
21.60118842,4,23.582,40.214,,,,
21.62105751,4,23.582,40.214,,,,
21.63637304,4,23.582,40.214,,,,
21.65413523,3,41.401,41.4285,,,,
21.7047472,4,23.582,40.214,,,,
21.71957231,4,23.582,40.214,,,,
21.73480058,4,23.582,40.214,,,,
21.75067186,4,23.582,40.214,,,,
21.76974964,4,23.582,40.214,,,,
21.85323977,4,23.582,40.214,,,,
21.86929059,4,23.582,40.214,,,,
21.88447857,3,41.401,41.4285,,,,
21.90508294,4,23.582,40.214,,,,
21.9223578,3,41.401,41.4285,,,,
21.95429873,2,41.401,41.4285,,,,
21.96929145,4,23.582,40.214,,,,
21.98433375,3,41.401,41.4285,,,,
21.99958348,4,23.582,40.214,,,,
22.01645184,4,23.582,40.214,,,,
22.0340929,3,41.401,41.4285,,,,
22.05621171,4,23.582,40.214,,,,
22.07345128,3,41.401,41.4285,,,,
22.0906086,3,41.401,41.4285,,,,
22.11486793,3,41.401,41.4285,,,,
22.13149142,3,41.401,41.4285,,,,
22.14898896,3,41.401,41.4285,,,,
22.16457224,3,41.401,41.4285,,,,
22.18831015,4,23.582,40.214,,,,
22.22922873,3,41.401,41.4285,,,,
22.24928713,4,23.582,40.214,,,,
22.26798153,4,23.582,40.214,,,,
22.28728938,2,41.401,41.4285,,,,
22.30474043,3,41.401,41.4285,,,,
22.32763147,4,23.582,40.214,,,,
22.34950256,3,41.401,41.4285,,,,
22.36516738,3,41.401,41.4285,,,,
22.38295913,3,41.401,41.4285,,,,
22.45660138,3,41.401,41.4285,,,,
22.47309089,5,23.582,40.214,,,,
22.48856115,3,41.401,41.4285,,,,
22.50381017,3,41.401,41.4285,,,,
22.51943493,4,23.582,40.214,,,,
22.53540707,4,23.582,40.214,,,,
22.56087208,2,41.401,41.4285,,,,
22.57625198,4,23.582,40.214,,,,
22.59564543,4,23.582,40.214,,,,
22.61165071,3,41.401,41.4285,,,,
22.62665391,4,23.582,40.214,,,,
22.64196634,3,41.401,41.4285,,,,
22.66281986,4,23.582,40.214,,,,
22.68721867,3,41.401,41.4285,,,,
22.70478463,3,41.401,41.4285,,,,
22.72383213,3,41.401,41.4285,,,,
22.74088907,2,41.401,41.4285,,,,
22.76028252,1,41.401,41.4285,,,,
22.77655458,2,41.401,41.4285,,,,
22.79169202,3,41.401,41.4285,,,,
22.80717182,3,41.401,41.4285,,,,
22.83259988,4,23.582,40.214,,,,
22.8695991,3,41.401,41.4285,,,,
22.88807368,3,41.401,41.4285,,,,
22.90342784,4,23.582,40.214,,,,
22.92990112,3,41.401,41.4285,,,,
22.94762874,3,41.401,41.4285,,,,
22.97555828,3,41.401,41.4285,,,,
22.99131727,5,23.582,40.214,,,,
23.02025747,3,41.401,41.4285,,,,
23.03769231,4,23.582,40.214,,,,
23.08517385,3,41.401,41.4285,,,,
23.10195947,2,41.401,41.4285,,,,
23.11701965,3,41.401,41.4285,,,,
23.13447189,2,41.401,41.4285,,,,
23.15553331,4,23.582,40.214,,,,
23.17496753,3,41.401,41.4285,,,,
23.19099879,4,23.582,40.214,,,,
23.21238065,3,41.401,41.4285,,,,
23.23389721,2,41.401,41.4285,,,,
23.25508428,4,23.582,40.214,,,,
23.27449012,3,41.401,41.4285,,,,
23.29135728,3,41.401,41.4285,,,,
23.31082129,3,41.401,41.4285,,,,
23.3263278,2,41.401,41.4285,,,,
23.34143949,3,41.401,41.4285,,,,
23.35707283,3,41.401,41.4285,,,,
